Accident_Occurred,Hours_Worked,Weather_Risk_Index,Machine_Age_Years,Employee_Experience_Years,Safety_Violations,Inspection_Frequency,Job_Risk_Level,Shift_Type,Area,Employee_Age,Noise_Level_dB,Temperature_C
1,8,0.9138276944719244,1,16,5,4,1,0,0,33,95.41274831197236,17.39296667430728
0,6,0.6803443228505346,17,2,0,5,2,0,1,23,79.26844893444873,29.987361336365222
1,7,0.37623945030258554,1,27,3,2,2,1,1,19,55.46284104494157,30.188549404655586
1,11,0.06657812829609921,3,18,0,11,1,1,1,43,58.791495098143045,23.20430029367922
1,7,0.989222143013577,12,12,7,11,1,0,0,33,57.44673088517126,23.629806343353017
0,7,0.3973428989941007,5,10,0,6,2,0,0,64,67.28894298499708,22.948851160213387
0,6,0.08334007083865069,5,26,5,11,1,0,0,61,93.08254707042393,31.325838926062715
0,9,0.3972345693592162,9,22,5,10,1,0,1,30,80.5649049730975,18.67535866994298
1,7,0.4000169234229737,13,13,6,5,1,1,1,18,98.92040159440242,33.709098428908966
0,10,0.4541163945812734,7,26,7,8,2,0,1,23,69.85369978115676,10.402973247244137
0,8,0.7131926167353336,18,27,0,3,2,0,1,35,54.45113476443775,14.506421645628048
0,6,0.005365568728176839,18,2,1,5,1,0,1,33,96.64480251377168,30.562158353162214
1,9,0.5396192179361311,8,26,5,9,2,1,1,18,87.95222351685348,38.793016147026826
1,9,0.23223590733533095,8,5,3,6,2,1,0,18,65.55863939653875,26.93009692852446
1,7,0.8327568633830756,19,28,1,3,1,1,0,56,64.02247272975808,23.984425885391662
0,8,0.3484487133836377,13,12,3,4,1,0,1,62,84.68783239252403,25.973757180653095
0,7,0.3114924803201814,2,1,9,6,2,0,0,34,66.65582196578072,12.216039112225499
1,11,0.17311127627881007,3,25,9,3,1,1,1,44,50.39443640570193,38.27344534215457
1,8,0.9533730614045204,7,1,5,7,1,0,0,58,64.87111888928985,21.647164097564612
1,6,0.6934760285629857,3,7,7,9,1,1,0,61,80.34470100914068,38.648135457503464
0,9,0.6721478943676703,2,18,7,11,1,0,1,23,90.76795973804337,33.9140867614865
0,10,0.19863538495573319,10,20,0,11,1,0,0,33,65.04818939556058,35.77658087970953
1,9,0.9097965542571638,4,19,2,6,1,0,0,21,59.8798637277596,28.232293004663298
0,6,0.4324682727805449,16,1,5,10,1,0,0,30,94.58228603744669,21.63022121118425
0,6,0.10651180026280105,17,21,0,7,1,0,0,60,85.11660727087406,37.10694929480808
1,11,0.4649308283908292,14,4,8,9,1,1,1,18,87.57919143387683,39.89933472177968
0,8,0.748675378924571,13,8,2,8,1,0,1,21,92.66870073672821,28.861596906325648
0,8,0.3065108920441001,16,11,1,1,1,0,0,56,99.76169891561989,23.124831241183244
0,11,0.4215445307145802,16,14,9,11,2,0,1,18,58.72402371203745,28.60832966724742
0,6,0.41224292837147347,10,17,4,10,1,0,1,64,57.88658035364836,21.132563942051792
0,7,0.3020887547344622,11,28,5,1,1,0,0,18,88.57868515468017,23.811141421689104
1,9,0.6681894519659771,2,3,8,8,3,0,0,23,55.92162886617739,17.545199365040176
0,6,0.08776666545133371,9,14,1,4,2,0,1,62,94.00807743856353,22.57341565647843
0,7,0.1572629399451263,13,22,9,1,1,0,1,40,95.92056804657221,30.760833087350523
1,10,0.6020113549186523,11,21,1,8,1,1,0,34,76.18964908275842,15.566457260752905
0,8,0.2584954663055439,4,3,2,6,1,0,1,40,75.63757897502856,35.95741042524577
1,8,0.17834868239732793,18,2,7,8,1,1,0,30,72.52672886947943,33.476398444619775
1,9,0.6605010750506114,7,4,8,11,1,1,1,59,72.30980679306182,14.822913497647686
1,10,0.8040839969805554,13,27,8,5,1,0,0,26,80.34640552374408,13.466321426588802
1,7,0.45290321220436625,18,26,4,9,1,1,1,28,53.27699625347699,38.11418419821511
0,7,0.410995160775821,13,24,6,10,1,0,1,61,54.23744513247798,17.724807546687426
0,8,0.5148291858996186,14,12,2,6,1,0,0,41,93.46341145520114,16.808232713941766
1,9,0.9626173807034145,15,17,9,7,1,1,0,33,68.87983939481461,25.742385445948987
0,6,0.4849359221943692,16,24,7,11,2,0,1,33,65.97993911007998,35.864613408891124
1,9,0.8105328185166474,1,26,8,5,1,1,0,50,78.82023117018215,24.696101679905397
1,7,0.6412402314247148,8,7,3,1,1,1,1,38,78.70143501843621,16.69883881217277
0,10,0.4258867337926667,13,7,8,9,1,0,0,54,63.25327950480513,19.26280574374461
1,8,0.9910910688929089,14,12,4,5,1,0,0,28,66.83327534237887,18.7438229813322
1,8,0.723282728177492,13,28,3,10,2,1,1,36,68.4994917100641,16.89700939230964
1,8,0.9877680405254567,4,12,0,3,2,0,0,48,93.90277270981778,24.941222726299678
1,7,0.02694917299844246,17,8,2,1,1,1,0,50,78.51543259249824,22.97239339262073
1,10,0.18130669103273023,14,2,1,3,1,0,1,27,99.14440548235379,15.695104202313058
1,10,0.8144474707657451,12,14,7,11,1,0,0,63,79.98575012824077,17.261698374488045
0,11,0.5590281063334673,5,8,2,2,1,0,1,36,50.74490642447886,35.95104234721658
1,8,0.06072989188794842,5,20,3,4,1,1,1,51,79.24615046579257,34.23744293730422
1,11,0.24512262082225023,12,26,0,8,1,1,1,40,75.05380391980374,11.237071982343789
1,8,0.9624368731819835,16,0,1,1,2,0,0,60,84.84468283112949,25.613362465279515
1,11,0.7381541745735148,19,3,0,9,1,1,0,39,92.03580162098757,38.986057481702716
0,11,0.6321866953844688,5,28,0,9,1,0,1,56,64.11403769071732,17.127239070112488
0,10,0.14231257045125922,3,12,7,8,2,0,1,60,92.09210525733042,21.789677908818703
1,6,0.7315661602781777,14,11,1,1,3,0,0,41,82.70946379949052,22.12657390935425
1,8,0.15137680053688374,19,27,5,8,3,0,0,57,58.283565545372774,14.62857932277955
1,8,0.9934646266227299,15,23,4,9,2,1,0,52,95.3869737756913,14.948307459240063
0,9,0.2843681711361923,9,8,3,9,2,0,0,35,83.09973102255282,34.937332609414256
0,11,0.531558994862145,12,15,3,7,1,0,1,64,79.32405214735242,21.717562111563257
0,8,0.11349549427709826,10,7,2,9,1,0,1,24,93.59810492390247,28.383892539272363
0,10,0.5832344278294898,12,26,7,8,1,0,1,20,50.368377672607004,15.059013217535272
1,10,0.29044860483342083,4,5,8,4,3,0,1,34,79.46435130759076,22.418673353606497
0,6,0.03859453316515682,15,29,1,11,2,0,0,45,55.58151238258724,33.58581770273048
0,10,0.5641135854840446,13,26,6,2,1,0,0,51,65.04810571119782,13.152785206827069
0,6,0.5957439578252528,7,29,8,3,1,0,0,57,71.43809970209519,36.10388374383073
1,10,0.7995431747806444,6,26,5,4,1,1,1,60,67.63238648474572,34.52177466376206
1,7,0.8233117397915896,19,27,6,7,2,0,0,42,93.70156119819859,33.92460068374035
1,11,0.22818804979126106,8,21,3,11,1,1,0,41,55.773533160582055,33.68830449241588
0,6,0.5941713471730363,9,22,1,2,2,0,1,35,95.91129066339639,27.98519027427024
0,6,0.04923294279842794,19,27,5,2,1,0,1,50,69.6975958022845,19.405429002265947
1,7,0.7728966940443548,4,17,8,1,2,1,0,40,84.73794900291779,38.492259275638034
1,11,0.5285356766998159,11,20,2,1,1,1,0,20,93.31296670139056,28.268186464130828
1,6,0.8084559707316507,13,25,9,6,1,0,0,45,68.8412103851774,20.41635965042554
0,6,0.3337139458481949,9,14,7,6,1,0,0,20,65.26498899306844,24.268744105255188
1,7,0.7878617641524998,12,7,5,9,2,1,0,43,67.71860291921963,38.60448699108529
0,7,0.3001982017139613,1,26,6,3,2,0,0,37,76.5930290467462,19.337745654917626
1,6,0.9746059643433309,11,17,2,3,2,1,0,40,96.49721989942648,24.35280192986572
0,7,0.6856585489733324,2,15,0,2,1,0,1,35,58.09481237245096,32.33375021603135
0,9,0.6610479326210904,11,21,3,5,1,0,0,27,95.51546280500594,20.38694809062779
0,10,0.47832296046309997,9,8,5,11,1,0,1,64,70.70541550176794,15.57875949935803
0,7,0.3713563827590638,11,2,6,3,2,0,1,41,62.155120535140526,21.706496315749533
1,10,0.9832157560517937,9,23,2,8,1,0,1,32,73.16063442614657,14.573908870547042
1,6,0.4394449829509697,9,14,8,11,2,1,1,59,51.60854614271469,27.95899519250755
0,6,0.07348190715194758,5,7,4,8,2,0,1,61,81.02202465405325,31.53714309835286
1,6,0.2582784818772801,11,5,7,7,2,1,0,28,73.77884460130203,31.701134853620097
1,7,0.610791530861557,15,24,3,7,1,1,1,55,98.53711384678095,36.30082920881051
0,6,0.5363608886966025,4,1,2,5,1,0,1,64,69.39442791672528,18.130697158293668
1,6,0.9975355990717063,6,6,9,8,1,1,0,41,63.440532498159094,28.66978762728735
0,9,0.3844383701994285,10,6,1,11,1,0,1,20,82.34890357365589,13.236975706095365
1,6,0.638501847480379,16,6,7,7,3,0,0,49,72.05620548506192,12.95862605120273
0,7,0.17808822214846276,14,21,2,10,1,0,1,25,94.18481117622454,34.68486650259027
0,9,0.2543553587370786,4,10,2,4,1,0,1,49,62.60185437557359,12.582293124876747
0,6,0.022796629154284265,10,14,3,9,2,0,0,38,83.72866277507924,18.21576275725082
0,11,0.13213653827052463,19,0,2,8,2,0,0,47,80.10754466083051,12.253342173960718
1,10,0.3523056420042219,8,4,5,3,2,1,0,33,93.85100902406202,26.381541568843023
0,11,0.06098824958819937,15,4,3,6,1,0,0,60,79.44109462613923,15.031576953387122
1,9,0.957910099944002,19,25,0,8,1,1,0,37,82.28631003813804,18.13396266524537
1,10,0.1388148068946079,2,23,1,5,2,1,1,53,54.97605603090887,35.47842168455059
1,10,0.12455592477762145,18,22,3,1,1,0,0,29,62.658361295479494,25.68185232005351
1,11,0.8306433187082812,11,17,8,10,3,0,0,52,85.47758171630988,23.701490784765433
0,7,0.7618941549931684,19,24,9,5,1,0,0,31,64.42859478376242,23.608706541782055
1,8,0.5419463608917943,8,20,6,4,1,1,1,63,68.41782457058987,20.768271746362203
1,11,0.865307825082528,13,15,2,5,1,0,0,49,68.97344872391557,11.743906953058605
1,11,0.6663778461734096,9,26,1,1,2,1,0,49,53.345480660728796,34.07472477853529
1,8,0.5530856924672642,2,25,9,9,2,1,1,40,54.670159472169125,24.827037374093457
1,6,0.04216227358022251,13,0,7,1,2,1,0,61,56.54280451041901,27.026561808497995
1,11,0.30246797646350854,6,13,0,10,1,1,1,33,53.52541320594411,36.594144797179155
1,6,0.3288677090851285,5,0,2,11,3,0,1,29,85.75666761697758,28.069947302368163
1,11,0.47857167149646773,17,18,9,7,2,1,1,23,72.70295265037296,36.50709320426593
0,9,0.582380143101033,19,16,2,9,2,0,1,50,87.32443924567062,24.26519370830598
0,8,0.7509455419818568,6,29,3,10,1,0,0,30,64.76912871704988,30.33858741186544
1,11,0.8514145530411491,10,16,0,3,2,0,1,56,97.9878994550693,20.22141508589589
1,11,0.06856052401882495,9,0,2,11,2,1,1,47,95.02953369502268,39.61472716623704
0,6,0.4097600586967016,5,27,8,6,2,0,1,61,51.205094376831795,18.680020611658335
1,9,0.36775963521272237,13,25,4,9,1,1,0,20,77.86639920921421,27.994117884493114
1,11,0.11505616378641892,6,5,1,5,2,1,1,34,52.057301958087194,29.0524297070013
0,10,0.29671511858367416,3,11,9,10,1,0,0,57,64.41494182348328,34.29098061338506
0,6,0.6224410120357803,18,10,1,5,1,0,1,60,84.47653973048676,12.080181288495783
1,10,0.038815153570309624,3,14,2,4,1,1,1,19,86.80208760953857,25.616851217725795
0,11,0.16009474449121097,18,17,8,10,2,0,0,40,77.02741693681673,12.2627177747718
1,6,0.24849786102865556,3,13,6,10,1,1,1,45,52.808864110988715,35.70431440448816
0,8,0.131842773429375,3,28,4,3,2,0,1,27,89.71062981631763,30.354420582090523
1,6,0.34177573924568017,14,28,7,1,1,1,0,47,83.01579826652838,23.247720678450104
0,6,0.21301955905530345,10,19,6,3,1,0,0,34,64.56280767779324,31.019244717077434
0,10,0.6737921716856983,5,20,6,9,2,0,1,46,60.00724088209633,24.357717871694888
1,7,0.49984579311486044,5,26,9,8,3,1,1,26,75.86061435254032,24.820081851032572
1,9,0.7388312224803647,11,0,9,1,1,1,0,33,98.65074606354294,14.164982143087876
1,6,0.1122692913786969,10,5,2,9,1,1,0,57,67.67627347359246,23.35228673246432
0,10,0.26981093432222336,14,10,1,9,2,0,0,51,77.0167462741979,10.253710774072664
1,7,0.8234771686005304,17,16,2,3,3,0,1,55,84.31108163760148,16.172851944452628
0,9,0.6976110138970835,10,6,9,11,2,0,1,35,94.25467995888545,12.30612303599348
0,8,0.1538216279570067,13,28,6,10,1,0,1,36,66.20318127786217,18.153053823589367
1,11,0.8791376548883669,8,15,7,11,1,1,1,50,51.424644934700915,29.620929096479887
0,9,0.24063242444589084,8,12,1,10,1,0,1,20,71.51335431536486,20.74114869785818
1,9,0.09509766257878216,18,10,5,11,3,1,1,38,64.84764977589363,18.716254098175707
0,6,0.72904075206198,16,12,4,4,1,0,1,20,90.74915810620723,12.180478838468845
1,7,0.1580420893264769,18,23,4,8,3,0,0,37,65.84165487371057,13.070329889016616
0,11,0.24909221882204435,17,5,8,4,2,0,0,55,94.72038706164074,27.134148335009943
1,8,0.3542027259635291,14,15,0,4,2,1,1,44,73.3575375046976,25.585886432899418
0,7,0.4470914603198858,13,29,4,5,1,0,0,42,60.12207910324795,38.70008205673941
0,10,0.6405997971080511,6,13,9,11,1,0,0,62,63.97589782942915,16.85915969474056
0,7,0.4398107519644857,17,26,4,8,1,0,0,20,93.34902250844848,13.930230933796858
1,7,0.3058518632674997,17,24,7,10,1,1,1,27,69.30950227348696,33.914299842063784
0,10,0.33269408061634653,17,20,6,7,2,0,1,19,63.05342211095496,29.33760240731684
0,9,0.6056192716337241,6,12,5,5,2,0,0,60,94.07604857302942,26.21503863157625
0,7,0.2955674595724558,6,24,2,10,1,0,1,58,76.72100523334583,14.855972290894965
0,8,0.6135906375502788,8,1,2,1,1,0,1,24,92.4700986519892,20.766522569143984
0,7,0.33726480946794957,8,15,5,8,1,0,0,33,93.71222121247968,35.858125763092815
1,10,0.7918849330434408,12,29,1,7,3,1,0,55,64.90497493303107,32.54582595652607
0,9,0.7329724587840996,19,15,6,1,1,0,0,18,57.22364466752403,12.754753742898929
1,7,0.5377562584710336,17,25,0,7,1,1,1,51,89.26987623770971,36.28019031267439
0,8,0.7707066005234764,16,27,4,7,2,0,0,41,98.89939852358782,28.15216241786604
0,11,0.7584670122327578,16,15,4,7,1,0,1,29,98.98111427135925,25.669087846421917
1,9,0.8619069911017208,14,19,6,3,1,0,0,22,88.55755106569268,31.098265590987385
0,6,0.2048818295807413,7,11,9,4,1,0,1,47,78.50172540094243,14.518751441127764
1,9,0.9665103604332606,13,5,3,1,2,0,1,28,90.72708015248887,14.233722969789175
0,10,0.06897395521733196,18,7,2,7,1,0,0,64,50.453513521828,19.8020162450134
0,11,0.1510676479742573,9,8,5,9,2,0,0,36,98.0176834714202,39.00039239605789
1,6,0.22463583376367602,9,21,0,9,3,1,1,26,66.21418886177518,22.784476822131268
1,9,0.8519353532379901,18,6,2,5,1,1,0,45,88.8543400032942,37.80593546228655
1,7,0.733956828852504,8,9,6,8,1,1,0,21,84.91533150554872,32.10235149233614
1,11,0.2534704537667716,17,11,1,1,3,0,0,59,61.46706045932282,31.707031219590693
0,10,0.5850428280332232,5,17,9,8,2,0,0,49,51.9964526736532,14.662377347208
1,9,0.3219150652145498,15,21,9,2,1,1,1,63,52.962250472770386,14.914411525352786
0,9,0.36490999918640554,17,7,3,9,1,0,0,25,92.88777628624152,39.78223078187198
0,6,0.4441622461299126,13,21,1,11,2,0,1,33,90.18300355832068,38.175679327077916
1,10,0.10970628213587996,4,13,8,3,1,1,0,22,83.62538599090851,18.99368946078439
0,10,0.46151459720527666,4,2,1,4,2,0,0,32,96.10356676672936,36.80932805868429
0,10,0.7826920577063587,16,22,3,4,1,0,0,30,64.1282992662258,29.006549843464693
0,6,0.7658043260396814,16,2,5,5,1,0,1,53,54.651316633843535,37.33786108638814
1,7,0.04973988298964327,6,24,3,7,1,1,1,50,86.91526798985852,10.131907743280008
0,7,0.23143437083261853,4,8,4,3,1,0,0,57,81.74991828022544,35.991518589696014
0,8,0.018545927094096748,6,1,7,2,1,0,1,33,98.74909662644356,29.684958665032813
0,11,0.6783962653186495,2,0,6,5,1,0,0,60,58.7925781523767,13.370356866133019
1,9,0.018594426950864995,3,22,8,2,1,0,1,40,57.03316125068604,20.830226405861346
0,8,0.2867592730724374,16,14,1,2,1,0,0,53,98.82214742444017,27.63712708235579
1,6,0.9855244720777491,9,25,8,6,1,0,0,56,74.55679821325631,39.70199508385825
0,8,0.40241755309330873,1,19,8,10,2,0,0,49,79.47024061193332,30.978909157931
0,11,0.5414367416322271,6,2,2,3,2,0,0,52,99.75613552971413,16.51084691765838
1,6,0.7172754676072163,5,2,2,7,2,1,0,59,98.35304929776635,26.36855538502461
1,11,0.8849078119883994,13,24,4,6,1,0,1,51,96.82145351015251,16.65685075987532
0,7,0.47114775626740746,11,22,3,11,2,0,1,48,97.5804578975134,33.2757088750648
1,11,0.19840486419578363,15,9,7,2,2,1,1,55,90.94286035928519,10.900199617205109
1,7,0.26934506226583144,1,26,8,2,3,0,0,31,99.43817118253743,19.21957798683949
0,11,0.45529992151132836,17,9,6,6,2,0,1,44,51.51163985714607,33.7999777592815
0,11,0.5433373311845235,13,0,1,9,1,0,0,54,77.4283339356661,33.696240612743146
1,8,0.35079545877575313,12,29,9,1,1,1,1,64,62.692304553295415,36.672774944907786
1,11,0.8226301476323614,19,17,7,8,1,1,0,25,83.93379231322243,20.642929574149843
0,8,0.4010453215087125,1,27,8,1,2,0,0,19,68.54870848260849,29.089001321858603
1,6,0.9661845876567813,6,15,8,7,2,0,1,31,77.80342221236322,22.334975955692776
1,6,0.25572963288798467,5,23,4,3,2,1,1,24,66.78075643624065,26.97933695460444
0,8,0.2727165905949003,1,11,1,11,1,0,0,60,79.13883514165607,25.27401101232304
1,9,0.8816197512050171,15,12,2,8,2,0,1,60,65.20549402431485,21.98496509433546
0,9,0.17792176448554142,12,28,0,3,1,0,0,21,57.79850683257293,29.098550791903083
0,7,0.2958978088599379,18,15,0,7,1,0,0,33,89.25257275728264,18.87296120918512
0,6,0.18209025314865668,3,28,7,11,2,0,0,54,65.73737699279076,13.925151747749704
1,11,0.8238511333502001,7,23,1,6,1,0,0,28,84.96188675229197,11.384658857680284
1,7,0.04175356625740834,18,24,7,10,1,1,1,25,89.61487685056963,30.8880429076961
0,10,0.22968665910321795,6,5,6,11,1,0,0,57,58.26500546135199,23.141579114829362
1,6,0.8647889387729369,1,26,1,5,1,0,1,33,78.92373515263829,22.28561171338607
1,10,0.8203451108647116,6,6,7,3,1,0,1,44,83.65436404832275,16.108419760614456
1,6,0.07519699696789595,16,16,6,11,1,1,0,23,92.98132470092692,39.86984965609085
0,7,0.3500927606339588,14,17,7,2,1,0,1,44,81.32808822781342,15.380961567884128
1,9,0.4278004905513555,10,27,6,4,1,1,1,22,94.35545452613783,27.898042057677756
1,7,0.453773001674161,13,11,7,2,1,1,0,43,86.55870859246869,33.914767478485835
1,8,0.2764098595148258,17,20,8,8,1,1,1,63,64.9213414247466,18.129085792140046
1,7,0.8838861820964895,9,5,8,3,2,1,1,20,97.82621691159136,21.70194325656821
0,10,0.20415732320077973,9,13,6,5,1,0,0,25,51.27798319428238,18.435337987050378
1,9,0.8839390531685741,15,12,3,9,2,1,1,61,89.2520315950354,16.359873790541783
0,7,0.6618883927413239,14,10,2,8,1,0,1,18,56.856595197011536,12.633431433368218
0,10,0.7396989574916529,16,10,9,11,2,0,0,18,56.059320494427624,36.582635217963215
1,9,0.12022437081975135,5,0,1,7,1,1,0,59,53.42470500312456,30.22125703824221
1,7,0.7863035129698601,6,2,6,5,2,1,0,58,61.15727568578271,20.239463781375708
0,10,0.08872520577955223,2,20,6,3,1,0,0,47,55.618313143258135,12.661928424715477
1,6,0.2747245393873001,6,29,2,1,2,1,1,62,75.80500692998757,12.644312227752797
1,9,0.5577435396671776,14,26,6,4,1,1,1,39,82.66550517962162,34.51582983658368
0,10,0.45929823024327554,14,7,9,3,1,0,1,26,59.095050871691086,14.527591962626579
0,8,0.44410616397687563,7,22,4,8,1,0,1,39,62.85900909089014,24.596547219464572
1,10,0.9657199328322043,13,13,5,2,1,0,1,34,75.74223419382544,27.8949915340591
0,11,0.20919615957983229,16,0,6,11,1,0,0,18,92.78472636163136,24.90666593219258
0,7,0.0884446524673137,19,12,7,6,1,0,0,31,90.75206536588635,33.26329770478484
